0.055333	0.721998	N
0.721998	1.388663	N
1.388663	2.055328	N
2.055328	2.721993	N
2.721993	4.055323	B:maj
4.055323	5.388653	C#:maj
5.388653	6.721983	Bb:min
6.721983	8.055313	Eb:min
8.055313	9.388643	B:maj
9.388643	10.721973	C#:maj
10.721973	13.388633	F#:maj
13.388633	14.055298	B:maj
14.055298	14.721963	F#:maj7/5
14.721963	16.055293	C#:maj
16.055293	16.721958	Bb:min
16.721958	17.388623	Bb:sus4
17.388623	18.721953	Eb:min
18.721953	19.388618	B:maj
19.388618	20.055283	F#:maj7/5
20.055283	21.388613	C#:maj
21.388613	24.055273	F#:maj
24.055273	25.388603	B:maj
25.388603	26.721933	C#:maj
26.721933	28.055263	Bb:min
28.055263	29.388593	Eb:min
29.388593	30.721923	B:maj
30.721923	32.055253	C#:maj
32.055253	34.721913	F#:maj
34.721913	36.055243	B:maj
36.055243	37.388573	C#:maj
37.388573	38.721903	Bb:min
38.721903	40.055233	Eb:min
40.055233	41.388563	B:maj
41.388563	42.721893	C#:maj
42.721893	45.388553	F#:maj
45.388553	46.055218	B:maj
46.055218	46.721883	F#:maj7/5
46.721883	48.055213	C#:maj
48.055213	48.721878	Bb:min
48.721878	49.388543	Bb:sus4
49.388543	50.721873	Eb:min
50.721873	51.388538	B:maj
51.388538	52.055203	F#:maj7/5
52.055203	53.388533	C#:maj
53.388533	56.055193	F#:maj
56.055193	56.721858	B:maj
56.721858	57.388523	F#:maj7/5
57.388523	58.721853	C#:maj
58.721853	59.388518	Bb:min
59.388518	60.055183	Bb:sus4
60.055183	61.388513	Eb:min
61.388513	62.055178	B:maj
62.055178	62.721843	F#:maj7/5
62.721843	64.055173	C#:maj
64.055173	66.721833	F#:maj
66.721833	68.055163	B:maj
68.055163	69.388493	C#:maj
69.388493	70.721823	Bb:min
70.721823	72.055153	Eb:maj
72.055153	73.388483	B:maj
73.388483	74.721813	C#:maj
74.721813	77.388473	F#:maj
77.388473	78.721803	B:maj
78.721803	80.055133	C#:maj
80.055133	81.388463	Bb:min
81.388463	82.721793	Eb:min
82.721793	84.055123	B:maj
84.055123	85.388453	C#:maj
85.388453	88.055113	F#:maj
88.055113	89.388443	B:maj
89.388443	90.721773	C#:maj
90.721773	92.055103	Bb:min
92.055103	93.388433	Eb:min
93.388433	94.721763	B:maj
94.721763	96.055093	C#:maj
96.055093	98.721753	F#:maj
98.721753	99.388418	B:maj
99.388418	100.055083	F#:maj7/5
100.055083	101.388413	C#:maj
101.388413	102.055078	Bb:min
102.055078	102.721743	Bb:sus4
102.721743	104.055073	Eb:min
104.055073	104.721738	B:maj
104.721738	105.388403	F#:maj7/5
105.388403	106.721733	C#:maj
106.721733	109.388393	F#:maj
109.388393	110.055058	B:maj
110.055058	110.721723	F#:maj7/5
110.721723	112.055053	C#:maj
112.055053	112.721718	Bb:min
112.721718	113.388383	Bb:sus4
113.388383	114.721713	Eb:min
114.721713	115.388378	B:maj
115.388378	116.055043	F#:maj7/5
116.055043	117.388373	C#:maj
117.388373	120.055033	F#:maj
120.055033	121.388363	B:maj
121.388363	122.721693	C#:maj
122.721693	124.055023	Bb:min
124.055023	125.388353	Eb:min
125.388353	126.721683	B:maj
126.721683	128.055013	C#:maj
128.055013	130.721673	F#:maj
130.721673	132.055003	B:maj
132.055003	133.388333	C#:maj
133.388333	134.721663	Bb:min
134.721663	136.054993	Eb:min
136.054993	137.388323	B:maj
137.388323	138.721653	C#:maj
138.721653	141.388313	F#:maj
141.388313	142.721643	B:maj
142.721643	144.054973	C#:maj
144.054973	145.388303	Bb:min
145.388303	146.721633	Eb:min
146.721633	148.054963	B:maj
148.054963	149.388293	C#:maj
149.388293	152.054953	F#:maj
152.054953	152.721618	B:maj
152.721618	153.388283	F#:maj7/5
153.388283	154.721613	C#:maj
154.721613	155.388278	Bb:min
155.388278	156.054943	Bb:sus4
156.054943	157.388273	Eb:min
157.388273	158.054938	B:maj
158.054938	158.721603	F#:maj7/5
158.721603	160.054933	C#:maj
160.054933	162.721593	F#:maj
162.721593	163.388258	B:maj
163.388258	164.054923	F#:maj7/5
164.054923	165.388253	C#:maj
165.388253	166.054918	Bb:min
166.054918	166.721583	Bb:sus4
166.721583	168.054913	Eb:min
168.054913	168.721578	B:maj
168.721578	169.388243	F#:maj7/5
169.388243	170.721573	C#:maj
170.721573	173.388233	F#:maj
173.388233	174.054898	B:maj
174.054898	174.721563	F#:maj7/5
174.721563	176.054893	C#:maj
176.054893	176.721558	Bb:min
176.721558	177.388223	Bb:sus4
177.388223	178.721553	Eb:min
178.721553	179.388218	B:maj
179.388218	180.054883	F#:maj7/5
180.054883	181.388213	C#:maj
181.388213	184.054873	F#:maj
184.054873	184.721538	B:maj
184.721538	186.721533	C#:maj
186.721533	187.388198	Bb:min
187.388198	189.388193	Eb:min
189.388193	190.054858	B:maj
190.054858	191.388188	C#:maj
191.388188	192.054853	F#:sus2
192.054853	194.721513	F#:maj
